+---------------+--------+-----------------------------------------------------------------------------------------------------------+
|               |        |                                            Количество итераций                                            |
|  Точность (ε) | Log(ε) |--------------------------------+--------------------+--------------------------------+--------------------+
|               |        | Метод половинного деления (x1) | Метод Ньютона (x1) | Метод половинного деления (x2) | Метод Ньютона (x2) |
+---------------+--------+--------------------------------+--------------------+--------------------------------+--------------------+
|       0.10000 |  -1.00 |                              5 |                  2 |                              5 |                  3 |
|       0.01000 |  -2.00 |                              8 |                  3 |                              8 |                  3 |
|       0.00100 |  -3.00 |                             12 |                  4 |                             12 |                  4 |
|       0.00010 |  -4.00 |                             15 |                  4 |                             15 |                  4 |
|       0.00001 |  -5.00 |                             18 |                  4 |                             18 |                  4 |
+---------------+--------+--------------------------------+--------------------+--------------------------------+--------------------+
