-10.000000 22.405914
-9.500000 14.875352
-9.000000 7.545656
-8.500000 1.286529
-8.000000 -3.212422
-7.500000 -5.610520
-7.000000 -5.999432
-6.500000 -4.880725
-6.000000 -3.043061
-5.500000 -1.369111
-5.000000 -0.619442
-4.500000 -1.246305
-4.000000 -3.282910
-3.500000 -6.335290
-3.000000 -9.678765
-2.500000 -12.435362
-2.000000 -13.788778
-1.500000 -13.184238
-1.000000 -10.464323
-0.500000 -5.907512
0.000000 -0.160000
0.500000 5.922512
1.000000 11.484323
1.500000 15.879238
2.000000 18.828778
2.500000 20.490362
3.000000 21.418765
3.500000 22.430290
4.000000 24.402910
4.500000 28.061305
5.000000 33.799442
5.500000 41.584111
6.000000 50.963061
6.500000 61.175725
7.000000 71.339432
7.500000 80.665520
8.000000 88.652422
8.500000 95.208471
9.000000 100.674344
9.500000 105.739648
10.000000 111.274086
